"","City","Year","Var.3","area.floor.commercial","area.floor.gross","area.floor.industrial","area.floor.residential","area.land","area.urbanised","bio","building.al.consume","building.al.import","building.al.prod","building.bricksAndOthers.consume","building.bricksAndOthers.import","building.bricksAndOthers.prod","building.cement.consume","building.cement.import","building.cement.prod","building.other.2.consume","building.other.2.imports","building.other.2.prod","building.steel.consume","building.steel.import","building.steel.prod","cereals.consume","cereals.import","cereals.prod","coal","coord.bodies","dairy.import","dairy.prod","degreeDays.cooling","degreeDays.heating","diary.consume","diesel","districtHeating.number","districtHeating.ownership","districtHeating.percentage","elec.buildings.PV","elec.coal","elec.consumption.agriculture","elec.consumption.bulkSupply","elec.consumption.comm","elec.consumption.energyIndustry","elec.consumption.exports","elec.consumption.govtAgriculture","elec.consumption.ind","elec.consumption.insitutional","elec.consumption.licenses","elec.consumption.losses","elec.consumption.other","elec.consumption.publicLIghting","elec.consumption.res","elec.consumption.social","elec.consumption.stat.comm","elec.consumption.stat.ind","elec.consumption.stat.res","elec.consumption.stat.resCom","elec.consumption.stat.transp","elec.consumption.transportation","elec.consumption.waterWorks","elec.distributers.dominant","elec.distributers.number","elec.distributers.ownership","elec.emissionsFactor","elec.emissionsFactor.gas","elec.feedInTarrifs","elec.gas","elec.grid","elec.growth","elec.hydro","elec.incentives","elec.independentGeneration","elec.losses","elec.nuclear","elec.oil","elec.other","elec.regulator","elec.renewable","elec.solar","elec.suppliers.dominant","elec.suppliers.number","elec.suppliers.ownership","elec.total.Gwh","elec.total.TJ","elec.vehicles.charging","elec.vehicles.number","elec.wind","energy.stat.heating.fuel","energy.stat.res.comm.heating","energy.total","energy.total.2001","energy.total.2006","energy.total.2011","energy.total.growth","energy.transp","energy.transp.growth","food.consume","food.import","food.prod","fruit.consume","fruit.import","fruit.prod","fuel.jet","fuel.marine","gas","gas.distributors.number","gas.distributors.ownership","gasoline","gas.regulator","gas.vehicles.number","gdp","gdp.growth","gdp.ppp","govt.metro","ict.internet","ict.mobiles","maize.consume","maize.import","maize.prod","meat.consume","meat.import","meat.prod","oil","other.CNG","other.consumption.stat.institutional","other.mobile.aviationGasoline","other.mobile.biodiesel","other.mobile.compressedNaturalGas","other.mobile.dieselOil","other.mobile.electricity","other.mobile.electricityMetro","other.mobile.electricTraction","other.mobile.ethanol","other.mobile.fuelOil","other.mobile.kerosene","other.mobile.LPG","other.mobile.LPGauto","other.mobile.mazut","other.mobile.naturalGas","other.mobile.oil","other.mobile.oilProducts","other.stat.coalProducts","other.stat.crudeOil","other.stat.diesel","other.stat.fuelOil","other.stat.furnaceOil","other.stat.greases","other.stat.heat","other.stat.kerosene","other.stat.LPG","other.stat.LPG.bulked.packed","other.stat.mineralOil","other.stat.misc","other.stat.oilProducts","other.stat.steam","other.stat.totalNonElectric","other.stat.townGas","paper.consume","paper.import","paper.prod","plastic.consume","plastic.import","plastic.prod","pop.brinkhoff","pop.density.survey","pop.density.worldbank","pop.growth","pop.survery","precip.annual","preparedFoods.consume","preparedFoods.import","preparedFoods.prod","pulses.consume","pulses.import","pulses.prod","random.consume","random.import","random.prod","rice.consume","rice.import","rice.prod","sawi.consume","sawi.import","sawi,prod","service.hoursNoElec","service.noDrinking","service.noGrid","service.noSewerage","service.noWasteCollection","service.noWater","service.wastewaterTreatment","snacks.consume","snacks.import","snacks.prod","solarRad.annual","solidFats.consume","solidFats,import","solidFats.prod","soybean.consume","soybean.import","soybean.prod","spinach.consume","spinach.import","spinach,prod","transportation (%)","unclear.consume","unclear.import","unclear.prod","veg.consume","veg.import","veg.prod","waste.growth","waste.incineration","waste.landfill","waste.other","waste.total","wastewater.collectors.number","wastewater.load","wastewater.ownership","wastewater.vol","water","water.distributors.number","water.distributors.ownership","water.growth","water.loss","water.loss.exc","water.loss.inc","water.loss.percent","water.production","water.production.ground","water.production.surface","water.regulator","waterSpinach.consume","waterSpinach.import","water.Spinach.prod","wheat.consume","wheat.import","wheat.prod"
"72","Shanghai",2011,"","430150000","980920000","","550770000","6340.5","","","","","","","","","","","8182.8","","","","","","24828.1","","","","","Y","","","370","1664","","223581.78","0","na","0","unknown","","","","","","","","","","","","","","","","","","","","","","","Y","1-2","public","","","Y","","126913","","","Y","unknown","7049","","","","N","","","N",">5","public","126913","456886.8","93","40","","978551.33","","2118861.73","","","2118861.73","","683423.6","","","","","","","","","","","3-5","public","203320.549","N","unknown","1919569000000","","457040238095","Y","66.2","128.3 per 100 pop","","","","","","","","","","","","","","","","","","81411.57","175109.7","","","","","","","","","","","","","","","","","","","","","978551.33","","","","","","","","18400000","#DIV/0!","16930","40.71","23474600","1009.1","","","","","","","","","","","","","","","","8.8","0.01","0","10","1","0.6","14.4","","","","1219.2","","","","","","","","","","","","","","","","","","592.3","3627.1","78","4219.4",">5","249","mix","2279000","8286650","3-5","public","","1462350","","9749000","0.176","9749000","14000","9735000","N","","","","","",""
"73","Shenzhen",2001,"","","","","","","","?","","","","","","","","","","","","","","","","","","","961.41","","","","","","","53642.91","","","","","68.55","","","","","","","","","","","","","","","","","","","","","","","","","625.38","","","3.34","21228.71","227.89","8.17","","","1333.16","0.54","19.4","","","","","","","","21228.71","76423.36","","","0","26211.01","","162466.77","162466.77","","","120.05","59832.4","13.61","","","","","","","2924.1","","?","","","6189.49","","","248248740000","264.15","75226890909","","","","","","","","","","16244.93","","","","","","","","","","","","","","","","","","","","5774.56","","","","","","","3065.84","","","","","","","","","","","","","","","","","","7245700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.08","868.34","2975.67","","3844.01","","129.82","","865450","1287860","","","51.8","148921","1287860","1436781","0.116","1287860","59030","1228460","","","","","","",""
"74","Shenzhen",2006,"","","","","","","","?","","","","","","","","","","","","","","","","","","","?","","","","","","","?","","","","","78.97","","","","","","","","","","","","","","","","","","","","","","","","","616.78","","","0.48","48720.38","","15.9","","","3059.64","2.13","2.43","","","0.04","","","","","48720.42","175393.51","","","0.09","0","","175393.51","","175393.51","","","0","","","","","","","","2198.88","","?","","","?","","","581356240000","","166101782857","","","","","","","","","","?","","","","","","","","","","","","","","","","","","","","?","","","","","","","?","","","","","","","","","","","","","","","","","","8711000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","752","2577","","3329","","186.15","","1241000","1731640","","","","45079.2","1731640","1776719.2","0.026","1731640","55410","1675810","","","","","","",""
"75","Shenzhen",2011,"","4699300","28759800","4404200","19656300","2020","1991.64","?","","","","","","","130462.24","unknown","115920.72","","","","unknown","16.25","413.41","","","","1887.66","Y","","","685","377","","32710.85","1-2","public","unknown","unknown","77.8","","","22.55","","","","60.15","","","","","","12.85","","9","63.9","12.9","","","","","Y",">5","mix","622.31","","","1.6","69601.98","","17.2","Y","unknown","4371","1.8","0.3","","Y","4.07","","Y","1-2","public","69606.05","250581.78","12750","6630","1.3","38956.05","8531.37","357513.58","","","357513.58","","67975.75","","unknown","unknown","161.72","","","","15897.53","","18682.65","1-2","public","35264.9","Y","unknown","1150552980000","","273941185714","Y","99","130 per 100 pop","","","","","","","3143.21","","","","","","","","","","","","","","","","","","","","12089.04","","","","","","164.27","2927.06","","","","","","","","","","","","","","10400000","5256","no data","44.46","10467400","1269.7","","","","","","","","","","","","","","","","3.32","0","3.32","unknown","5","0","6.03","","","","2054.4","","","","","","","","","","2.17","","","","","","","","1781.6","2795.7","","4577.3",">5","203.85","mix","1359000","1954910","1-2","public","","50355","1954910","2005265","0.026","1954910","9910","1852900","Y","","","","","",""
"76","Tehran",2001,"","","","","","","","0","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","","0","","","","","negligible","","","","0","0","","","0","4407.46","","9574.54","9574.54","","","","5167.08","","","","","","","","","","","","","","","","330000000000000","-36.36","226523887974","","","","","","","","","","4407.46","","","","","","","","","","","","5167.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10617046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","0","","","0","","","","","726604.09","","","14.75","242201.36","726604.09","968805.45","0.333","","","","","","","","","",""
"77","Tehran",2006,"","","","","","","","0","","","","","","","","","","","","","","","","","","","0","","","","","","","43632.78","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27871","","","","","4180.7","0","","","","","negligible","","","","27871","100335.6","","","0","6145.86","","335077.18","","335077.18","","","228595.72","","","","","","","","","","","","","129295.08","","","440000000000000","","151416084518","","","","","","","","","","6145.86","","","","","","","","","","","","1798.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11063613","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0","","","","115","757166.01","","","","252388.67","757166.01","1009554.69","0.333","","","","","","","","","",""
"78","Tehran",2011,"","","","","","18900","1390","0","","","","","","","","","4015","","","","","","","","","","0","Y","","","708","1977","","129568.9","1-2","public","unknown","unknown","0","","","36","","","","16","","","","","","41","","","","","","","7","","Y","1-2","public","","","N","","24691","","","N","unknown","3703.7","0","","","N","","negligible","Y","1-2","public","24691","88887.6","unknown","unknown","0","713614.79","","1110805.93","","","1110805.93","","308303.54","","","","","","","","54845.29","","713614.79","1-2","public","173460","N","3500000","620000000000000","","144159226190","Y","16.4","89","","","","","","","","","","","","","","","","","","","5274.64","","","53869.56","","","","","","","","","","","","","","","","","","","","","","","","","","12800000","8765","703","14.75","12183391","316.3","","","","","","","","","","","","","","","","","0","0.1","55","0","0","","","","","2200","","","","","","","","","","","","","","","","","","0","2555","","2555","","","","","833800.82","1-2","public","","277933.61","833800.82","1111734.43","0.333","","","","N","","","","","",""
"79","Tokyo",2001,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","","","","","","","","","","","","","","","","0","","0","","","","#DIV/0!","","#DIV/0!","","","","","","","","","","","","","","","","#REF!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","0","","","","","","","","#DIV/0!","","0","0","","","","","","","","","","",""
"80","Tokyo",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5096.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Tokyo",2011,"","","","","","","","","","","","","","","","","","","","","","","","","","","62250","","","","227","1594","","188218","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240472.5","","","","","?","","","","","310.28","","","","","240782.78","866818","","","","1047599","","2561871","","","2561871","","647454","","","","","","","","","","7319","","","459236","","","","","1139.71","","","","","","","","","","","","","","","","","","","","","","","3788.59","","","","","","229914","","","","","","124862","","177151","","","","","","","446103","","","","","","","34000000","#DIV/0!","5081","#DIV/0!","35622000","1479.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","949.7","","949.7","","","","","4186439.73","","","","","4186439.73","4186439.73","","","","","","","","","","",""
