"titles","optimised system(s)","optimised system(s) – details","opt.systems.summary","other systems","integration","type","notes","methods","methods (details)","cat_matches","cat_matches_list","notes","level","level.notes","level_detail","scale","focus"
"Optimization of an Automotive Radiator Fan Array Operation to Reduce Power Consumption",,,,,,,,,,,,"CUT",,,,,"other"
"P-graph approach to optimal operational adjustment in polygeneration plants under conditions of process inoperability",,,,,,,,,,,,"CUT",,,,,"other"
"Utilization of substitutable substrates in a bioreactor under cycling: A study on process dynamics and optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Oxidative degradation of Lurgi coal gasification wastewater: Optimization using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Application of electrochemical reactor divided by cellulosic membrane for optimized simultaneous removal of phenols, chromium, and ammonia from tannery effluents",,,,,,,,,,,,"CUT",,,,,"other"
"Management optimisation and technologies application: A right approach to balance energy saving needs and process goals",,,,,,,"CUT – not specific model",,,2,"energy, water","CUT",,,"various (e.g. Technologies, strategic control)","various","other"
"Design and optimization of a proton exchange membrane fuel cell CHP system for residential use",,,,,,,,,,,,"CUT",,,,,"other"
"Electrocoagulation of commercial naphthalene sulfonates: Process optimization and assessment of implementation potential",,,,,,,,,,,,"CUT",,,,,"other"
"Neuro-evolutionary optimization methodology applied to the synthesis process of ash based adsorbents",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design of district heating and cooling pipe network of seawater-source heat pump","energy","district heating network","single","NA","none","system","Low-level optimistion (e.g. pipe dimensions)","optimisation","GA",2,"energy, water","optimal design of seawater-source heat pump","low","operating conditions","plant","plant","other"
"Optimal sizing of a solar-biogas-based cooking system for a cluster of villages",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of Orange G dye adsorption by activated carbon of Thespesia populnea pods using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of two-step catalyzed biodiesel production from soybean waste cooking oil","fuel production","biodiesel production","single",,"none","plant","waste (cooking oil), optimise parameters (e.g. timings)","concrete","CUT – experimental",2,"energy, waste","optimial parameters for biodiesel production processes","low","operating conditions","plant","plant","other"
"Optimal multi-period operational planning for steam power system in petrochemical enterprise with consideration of environmental costs in China",,,,,,,,,,,,"CUT",,,,,"other"
"Identifying optimal water resources allocation strategies through an interactive multi-stage stochastic fuzzy programming approach",,,,,,,,,,,,"CUT",,,,,"other"
"Synthesis of near-optimal topologically constrained property-based water network using swarm intelligence",,,,,,,,,,,,"CUT",,,,,"other"
"Simulation and optimization of a membrane system for chromium recovery from tanning wastes",,,,,,,,,,,,"CUT",,,,,"other"
"Structure optimization of CycloBio fluidized sand biofilters based on numerical simulation",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of nitrogen elimination at the wastewater treatment plant Kitzingen (Bavaria) | Optimierung der Stickstoff-eliminierung der kl√§ranlage Kitzingen (Bayern)",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of the fenton oxidation of wastewater generated by rape oil soapstock splitting",,,,,,,,,,,,"CUT",,,,,"other"
"Optimisation of a microwave pretreatment of wheat straw for methane production",,,,,,,,,,,,"CUT",,,,,"other"
"Design of biomass and natural gas based IGFC using multi-objective optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Probabilistic optimization of a continuum mechanics model to predict differential stress-induced damage in claystone",,,,,,,,,,,,"CUT",,,,,"other"
"Multi-Criteria Analysis for Optimization of Sodium Chromate Production from Chromic Waste",,,,,,,,,,,,"CUT",,,,,"other"
"Statistical modeling and optimization of the cadmium biosorption process in an aqueous solution using Aspergillus niger",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of sewage sludge conditioning and pressure dewatering by statistical modelling",,,,,,,,,,,,"CUT",,,,,"other"
"Supply Chains and Optimization for Biorefineries",,,,,,,,,,,,"CUT",,,,,"other"
"Anaerobic digester systems (ADS) for multiple dairy farms: A GIS analysis for optimal site selection",,,,,,,,,,,,"CUT",,,,,"other"
"Optimized treatment of phenol-containing fire fighting wastewater using Fenton oxidation",,,,,,,,,,,,"CUT",,,,,"other"
"Response surface optimization and artificial neural network modeling of microwave assisted natural dye extraction from pomegranate rind",,,,,,,,,,,,"CUT",,,,,"other"
"Cost versus network length criteria in water network optimal design",,,,,,,,,,,,"CUT",,,,,"other"
"The identification of optimal Co2 emissions-trading strategies based on an inexact two-stage chance-constrained programming approach",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of operational parameters for ethanol production from korean food waste leachate","fuel production","ethanol production","single",,"none","plant","waste (food leachate), optimise parameters","concrete statistical","CUT – response surface methodology, experimental",2,"energy, waste","optimial parameters for biodiesel production processes","low","operating conditions","plant","plant","other"
"An Artificial Neural Network and Genetic Algorithm Optimized Model for Biogas Production from Co-digestion of Seed Cake of Karanja and Cattle Dung","fuel production","biogas production","single",,"none","plant","waste, parameter optimistion","optimisation","GA",2,"energy, waste","optimial parameters for biodiesel production processes","low","operating conditions","plant","plant","other"
"Optimization of an A<sup>2</sup>/O process for tetracycline removal via response surface methodology coupled with a Box-Behnken design",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design of integrated CHP systems for housing complexes",,,,,,,,,,,,"CUT",,,,,"other"
"Investigation on biogas production process from chicken processing industry wastewater using statistical analysis: Modelling and optimization","fuel production","biogas production","single",,"none","plant","wastewater, parameter optimistion","concrete","CUT – experimental",2,"energy, waste","optimal parameters for biogas production processes","low","operating conditions","plant","plant","other"
"Optimization of thermo-alkaline disintegration of sewage sludge for enhanced biogas yield","fuel production","biogas production","single",,"none","plant","sludge, paramter optimiations","concrete statistical","CUT – response surface methodology, experimental",2,"energy, waste","optimal parameters for biogas production processes","low","operating conditions","plant","plant","other"
"Identification of optimal strategies for improving eco-resilience to floods in ecologically vulnerable regions of a wetland",,,,,,,,,,,,"CUT",,,,,"other"
"Exergetic optimization of the heat recovery steam generators by imposing the total heat transfer area",,,,,,,,,,,,"CUT",,,,,"other"
"Control of adsorption chillers by a gradient descent method for optimal cycle time allocation",,,,,,,,,,,,"CUT",,,,,"other"
"Thermal optimization of solar biomass hybrid cogeneration plants","energy","energy","single",,"none","plant","solar, boiler, parameter optimisation","simulation","simulation based on mathematical description",3,"energy, various, waste","optimal parameters for biogas production processes","low","operating conditions","plant (multiple components)","plant (multiple components)","other"
"Selection and optimization of pure and mixed working fluids for low grade heat utilization using organic rankine cycles",,,,,,,,,,,,"CUT",,,,,"other"
"Design and performance characteristics of solar adsorption refrigeration system using parabolic trough collector: Experimental and statistical optimization technique",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of process parameters for removal of arsenic using activated carbon-based iron-containing adsorbents by response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Cost optimal segregated targeting for resource allocation networks",,,,,,,,,,,,"CUT",,,,,"other"
"Esterification of oleic acid to biodiesel using magnetic ionic liquid: Multi-objective optimization and kinetic study",,,,,,,,,,,,"CUT",,,,,"other"
"Targeting for optimal grid-wide deployment of carbon capture and storage (CCS) technology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimisation for the retrofit of large scale heat exchanger networks with different intensified heat transfer techniques",,,,,,,,,,,,"CUT",,,,,"other"
"Location optimization of wind plants in Iran by an integrated hierarchical Data Envelopment Analysis",,,,,,,,,,,,"CUT",,,,,"other"
"An interval-valued minimax-regret analysis approach for the identification of optimal greenhouse-gas abatement strategies under uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"Instant flour from quality protein maize (Zea mays L). Optimization of extrusion process",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of coagulation-flocculation process for treatment of industrial textile wastewater using okra (A. esculentus) mucilage as natural coagulant",,,,,,,,,,,,"CUT",,,,,"other"
"Operational optimization of crude oil distillation systems using artificial neural networks",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design of microalgae-based biorefinery: Economics, opportunities and challenges","fuel production","biofuel production","single","agriculture, biorefinery","integrated","system","biorefinary superstruction","optimisation","MILNP",2,"energy, various","Optimising energy and other products from microalgae, from a range of alternative, e.g. dependent on feedstock, considering cultivation, harvesting, pretreatment, etc.","high","sink/source superstructure/pathway optimisation","compares various pathways","refinery/chem. plant","biomass-* integration"
"An optimization of redundant measurements location for thermal capacity of power unit steam boiler calculations using data reconciliation method",,,,,,,,,,,,"CUT",,,,,"other"
"Cycle efficiency optimization for ORC solar plants",,,,,,,,,,,,"CUT",,,,,"other"
"Synthesis of biodiesel from vegetable oils wastewater sludge by in-situ subcritical methanol transesterification: Process evaluation and optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Recent advances in optimization-based simultaneous process and control design",,,,,,,,,,,,"CUT",,,,,"other"
"Cost-effective approach to ethanol production and optimization by response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimisation of processing routes for a marine biorefinery",,,,,,,,,,,,"CUT",,,,,"other"
"Response surface optimization of a novel pilot dryer for processing mixed forest industry biosludge",,,,,,,,,,,,"CUT",,,,,"other"
"Energy and environmental performance optimization of a wooden window: A holistic approach",,,,,,,,,,,,"CUT",,,,,"other"
"Shale problems and water-based drilling fluid optimisation in the Hassi Messaoud Algerian oil field",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization estimation of kinetic parameters for heterotrophic biomass based on batch respirometric method",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of enzymatic hydrolysis of steam-exploded corn stover by two approaches: Response surface methodology or using cellulase from mixed cultures of Trichoderma reesei RUT-C30 and Aspergillus niger NL02",,,,,,,,,,,,"CUT",,,,,"other"
"Photocatalytic degradation of azo dye (Reactive Red 120) in TiO2/UV system: Optimization and modeling using a response surface methodology (RSM) based on the central composite design",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of UV-promoted peroxydisulphate oxidation of C.I. basic blue 3 using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimisation of degradation conditions of 1,8-diazabicyclo[5.4.0]undec-7-ene in water and reaction kinetics analysis using a cocurrent downflow contactor photocatalytic reactor",,,,,,,,,,,,"CUT",,,,,"other"
"Efficiency optimization control of group pump based on adaptive genetic algorithm",,,,,,,,,,,,"CUT",,,,,"other"
"Degradation of the fungicide carbendazim in aqueous solutions with UV/TiO2 process: Optimization, kinetics and toxicity studies",,,,,,,,,,,,"CUT",,,,,"other"
"Application of the batch-to-batch and within-batch iterative optimal design strategy for pervaporation processes",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal land use management for soil erosion control by using an interval-parameter fuzzy two-stage stochastic programming approach",,,,,,,,,,,,"CUT",,,,,"other"
"Thermoeconomic optimization of heat recovery steam generators operating parameters for combined plants",,,,,,,,,,,,"CUT",,,,,"other"
"An Inverse Optimization Approach to Inducing Resource Conservation in Eco-Industrial Parks",,,,,,,,,,2,"various, waste","CUT",,,"EIP","EIP","other"
"Optimization and economics of solar cooling systems",,,,,,,,,,,,"CUT",,,,,"other"
"Design of the optimal industrial symbiosis system to improve bioethanol production","fuel production","bioethanol production","single","agriculture, biorefinery, energy, waste, products","integrated","system","Water, wastewater, energy (considers place within biorefinaries, AD plants, wastewater treatment, CHP, cement production), but from biorefinery perspective","optimisation","MILP",2,"energy, various","optimal biotheanol production from inustrial symbiosis: optimal network of flows(farms, biorefinery, malt, CHP, wastewater treatment, AD etc.). Optimal regional configuration","high","sink/source superstructure","network of processes (e.g. regional)","region","biomass-* integration"
"CFD simulation and optimization of ICEs exhaust heat recovery using different coolants and fin dimensions in heat exchanger",,,,,,,,,,,,"CUT",,,,,"other"
"Development of an optimal operation approach in the MPC framework for heavy-haul trains",,,,,,,,,,,,"CUT",,,,,"other"
"Process optimization for arsenic adsorption onto natural zeolite incorporating metal oxides by response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Design and optimisation of purification procedure for biodiesel washing",,,,,,,,,,,,"CUT",,,,,"other"
"Thermodynamic optimisation and analysis of four Kalina cycle layouts for high temperature applications",,,,,,,,,,,,"CUT",,,,,"other"
"Converting poultry litter to activated carbon: Optimal carbonization conditions and product sorption for benzene",,,,,,,,,,,,"CUT",,,,,"other"
"Coal flotation optimization using modified flotation parameters and combustible recovery in a Jameson cell",,,,,,,,,,,,"CUT",,,,,"other"
"Biodegradability and toxicity assessment of a real textile wastewater effluent treated by an optimized electrocoagulation process",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal reconfiguration of multi-plant water networks into an eco-industrial park","water","EIP","single","products","integrated","system","EIP, Re-piping water networks wihtin an industrial zone, including wastewater treatment, to minimise freshwater consumption.","optimisation","MINLP",2,"various, waste","Re-piping water networks wihtin an industrial zone, including wastewater treatment, to minimise freshwater consumption.","high","sink/source superstructure","EIP (water network)","EIP","water n/w integration"
"Computer Modeling of a CI engine for optimization of operating parameters such as compression ratio, injection timing and injection pressure for better performance and emission using diesel-diesel biodiesel blends",,,,,,,,,,,,"CUT",,,,,"other"
"Environmental performance optimization using process water integration and Sustainable Process Index",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization and characterization studies on bio-oil production from palm shell by pyrolysis using response surface methodology","fuel production","Bio-oil","single",,"none","plant","waste pyrolysis, parameter optimisation","concrete statistical","CUT – response surface methodology, experimental",2,"energy, waste","optimial parameters for bio-oil production processes","low","operating conditions","plant","plant","other"
"Preparation of porous carbon from date palm seeds and process optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Experimental and numerical analysis of the optimized finned-tube heat exchanger for OM314 diesel exhaust exergy recovery",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design and experiment of submerged grinder pump grinding device",,,,,,,,,,,,"CUT",,,,,"other"
"Exergy-based assessment and optimisation for energy transportation: A case study of Inner Mongolia-Tianjin",,,,,,,,,,,,"CUT",,,,,"other"
"Production of fermentable sugars and polyhydroxybutyrate from hybrid poplar: Response surface model optimization of a hot-water pretreatment and subsequent enzymatic hydrolysis",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal integration of a solid-oxide electrolyser cell into a direct steam generation solar tower plant for zero-emission hydrogen production",,,,,,,,,,,,"CUT",,,,,"other"
"Synthesis of ZnO nano-sono-catalyst for degradation of reactive dye focusing on energy consumption: operational parameters influence, modeling, and optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Multiobjective design of aquifer monitoring networks for optimal spatial prediction and geostatistical parameter estimation",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal operation of a micro-combined cooling, heating and power system driven by a gas engine",,,,,,,,,,,,"CUT",,,,,"other"
"Synthesis and thermo-economic design optimization of wood-gasifier-SOFC systems for small scale applications","energy","energy","single",,"none","plant","biomass gasification parameter optimisation","optimisation","EA and LP",2,"energy, various","optimal parameters for gasification","low","operating conditions","plant (multiple components)","plant (multiple components)","other"
"Optimization of synthesis and characterization of palm shell-based bio-char as a by-product of bio-oil production process","other","Bio-char quality (used as adsorbent)","single",,"none","plant","plant parameter optimisation","concrete statistical","CUT – response surface methodology, experimental",2,"energy, waste","optimise bio-oil from biomass (palm oil shel), via pyrolysis","low","operating conditions","plant","plant","other"
"Working interest optimization in the transport and burial of hazardous wastes",,,,,,,,,,,,"CUT",,,,,"other"
"Adaptive Genetic Algorithm for Daily Optimal Operation of Cascade Reservoirs and its Improvement Strategy",,,,,,,,,,,,"CUT",,,,,"other"
"Application of multivariate optimization procedures for preconcentration and determination of Au(III) and Pt(IV) in aqueous samples with graphene oxide by X-ray fluorescence spectrometry",,,,,,,,,,,,"CUT",,,,,"other"
"Optimisation of total phenolic acids extraction from mandarin peels using microwave energy: The importance of the Maillard reaction",,,,,,,,,,,,"CUT",,,,,"other"
"The optimization of computational stock market model based complex adaptive cyber physical logistics system: A computational intelligence perspective",,,,,,,,,,,,"CUT",,,,,"other"
"An optimization decision support approach for risk analysis of carbon emission trading in electric power systems",,,,,,,,,,,,"CUT",,,,,"other"
"Life cycle optimisation (LCO) of product systems with consideration of occupational fatalities",,,,,,,,,,,,"CUT",,,,,"other"
"Identification of optimal placements of best management practices through an interval-fuzzy possibilistic programming model",,,,,,,,,,,,"CUT",,,,,"other"
"Process parameters optimization of superheated steam drying for sludge",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of biocatalytic biodiesel production from pomace oil using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Sensor fault diagnosis based on ensemble empirical mode decomposition and optimized least squares support vector machine",,,,,,,,,,,,"CUT",,,,,"other"
"Sustainable supply chain optimisation: An industrial case study",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of proteases pretreatment on natural dyeing of wool using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Pretreatment of wastewater: Optimal coagulant selection using Partial Order Scaling Analysis (POSA)",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal waste decomposition - Landfill as treatment process","fuel production","landfill","single","NA","integrated","system","Optimise landfill site configuration to maximise gas production from leachate (gradient solution to ODEs)","simulation","Nonlinear ODEs",2,"energy, waste","CUT",,,"landfill site","plant","other"
"Optimal design of a cogeneration plant for power and desalination taking equipment reliability into consideration","energy, water","coupling of desalination and power generation","energy, water","NA","highly integrated","system","coupling desalination and cogeneration","optimisation","Unknown mathematical programme",2,"energy, water","cogeneration and desalination","low","operating conditions","coupled desalination and cogeneration","plant (couple)","other"
"Disjunctive fuzzy optimisation for planning and synthesis of bioenergy-based industrial symbiosis system",,,,,,,,,,,,"CUT",,,,,"other"
"Pinch-based and disjunctive optimization for process integration of wastewater interception with mass and property constraints",,,,,,,,,,,,"CUT",,,,,"other"
"An optimisation-based environmental decision support system for sustainable development in a rural area in China",,,,,,,,,,,,"CUT",,,,,"other"
"Enhanced Simulation-Optimization Approach Using Surrogate Modeling for Solving Inverse Problems",,,,,,,,,,,,"CUT",,,,,"other"
"Optimisation and investment analysis of two biomass-to-heat supply chain structures","energy","biomass from heat supply chain","single","agriculture","integrated","system","Heat from biomass supply chain","optimisation","LP",2,"energy, waste","optimising supply chain of agricultural residues to heat","medium","sink/source superstructure with some operation decisions","supply chain with linked processes (e.g. pelleting, CHP, heat distribution, electricity transmission)","region","biomass-* integration"
"Optimisation of sludge disruption by sonication",,,,,,,,,,,,"CUT",,,,,"other"
"Wastewater flocculation using a new hybrid copolymer: Modeling and optimization by response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Tartrazine degradation and mineralization by electrooxidation. Optimization of the operating conditions | Degradaci√≥n y mineralizaci√≥n de tartrazina mediante electrooxidaci√≥n. Optimizaci√≥n de las condiciones de operaci√≥n",,,,,,,,,,,,"CUT",,,,,"other"
"Development of optimization model for budget distribution to countermeasures against livestock manure management (study on reasonable budget planning for effective utilization of livestock manure)",,,,,,,,,,,,"CUT",,,,,"other"
"Microwave-assisted optimization of platinum-nickel nanoalloys for catalytic water treatment",,,,,,,,,,,,"CUT",,,,,"other"
"Real-time optimization of the pulp mill benchmark problem",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of enzymatic hydrolysis of prairie cordgrass for improved ethanol production","fuel production","ethanol production","single",,"none","plant","Biomass, parameter optimisation","concrete statistical","CUT – response surface methodology, experimental",2,"energy, various","optimal parameters for ethanol production from an energy crop","low","operating conditions","plant","plant","other"
"Estimating soil hydraulic parameters from transient flow experiments in a centrifuge using parameter optimization technique",,,,,,,,,,,,"CUT",,,,,"other"
"Application of response surface methodology for optimization of lead biosorption in an aqueous solution by Aspergillus niger",,,,,,,,,,,,"CUT",,,,,"other"
"A modeling study by response surface methodology (RSM) and artificial neural network (ANN) on Cu2+ adsorption optimization using light expended clay aggregate (LECA)",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization design of RO system for water purification",,,,,,,,,,,,"CUT",,,,,"other"
"Screening, optimization and kinetics of Jatropha curcas oil transesterification with heterogeneous catalysts",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of groundwater remediation using artificial neural networks with parallel solute transport modeling",,,,,,,,,,,,"CUT",,,,,"other"
"Multi-objective optimization methodology to size cogeneration systems for managing flares from uncertain sources during abnormal process operations",,,,,,,,,,,,"CUT",,,,,"other"
"An efficient multi criteria process optimization framework: Sustainable improvement of the Dimethyl Ether Process",,,,,,,,,,,,"CUT",,,,,"other"
"Location optimization of solar plants by an integrated hierarchical DEA PCA approach",,,,,,,,,,,,"CUT",,,,,"other"
"Optimized sampling strategy for measurement of biomass properties during full-scale composting",,,,,,,,,,,,"CUT",,,,,"other"
"Optimized removal of antibiotic drugs from aqueous solutions using single, double and multi-walled carbon nanotubes",,,,,,,,,,,,"CUT",,,,,"other"
"An integrated approach to the optimization of in-plant wastewater interception with mass and property constraints",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal operational adjustment in multi-functional energy systems in response to process inoperability",,,,,,,,,,,,"CUT",,,,,"other"
"Electrochemical treatment of acrylic dye-bearing textile wastewater: Optimization of operating parameters",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of enzymatic hydrolysis of corn stover for improved ethanol production","fuel production","ethanol production","single",,"none","plant","Biomass, parameter optimisation","concrete statistical","CUT – response surface methodology, experimental",2,"energy, waste","optimal parameters for ethanol production from an agricultural residue","low","operating conditions","plant","plant","other"
"Optimization of H2O2 dosage in microwave-H 2O2 process for sludge pretreatment with uniform design method",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of nano- and microiron transport through sand columns using polyelectrolyte mixtures",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of collector and basin areas for a higher yield for active solar stills",,,,,,,,,,,,"CUT",,,,,"other"
"Developing an optimal valve closing rule curve for real-time pressure control in pipes",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal control of the activated sludge process",,,,,,,,,,,,"CUT",,,,,"other"
"Effects and optimization of selected operating variables on laccase production from Pycnoporus sanguineus in stirred tank reactor",,,,,,,,,,,,"CUT",,,,,"other"
"Simulation and optimization of batch autohydrolysis of wheat straw to monosaccharides and oligosaccharides",,,,,,,,,,,,"CUT",,,,,"other"
"Operating condition optimization of corncob hydrothermal conversion for bio-oil production",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of ecological footprint model based on environmental pollution accounts: A case study in Pearl River Delta urban agglomeration",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of chitosan flocculation for microalgal-bacterial biomass harvesting via response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"An optimization model of carbon sinks in CDM forestry projects based on interval linear programming",,,,,,,,,,,,"CUT",,,,,"other"
"Biodiesel development from rice bran oil: Transesterification process optimization and fuel characterization","fuel production","biodiesel production","single",,"none","plant","rice bran oil,","concrete statistical","CUT – experimental",2,"energy, various","optimal parameters for biodiesel from rice bran oil","low","operating conditions","plant","plant","other"
"Enzymatic decolorization of Orange II: Optimization by response surface methodology and pathway",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design of ethanol supply chains considering carbon trading effects and multiple technologies for side-product exploitation","fuel production","ethanol production","single","agriculture, biorefinery¸ energy","integrated","system","Ethanol plant, biogas plant, CHP plant, biomass land. Meet demand at reduced emissions, ","optimisation","MILP",2,"energy, various","optimising supply chain for bioethanol production (ethanol plant, biogas plant, CHP, etc.), from energy crops.","high","sink/source superstructure/pathway optimisation","Regional supply chain","region","biomass-* integration"
"Optimal dynamic monitoring network design and identification of unknown groundwater pollution sources",,,,,,,,,,,,"CUT",,,,,"other"
"A study of performance output of a multivane air engine applying optimal injection and vane angles",,,,,,,,,,,,"CUT",,,,,"other"
"Chemical coagulation of combined sewer overflow: Heavy metal removal and treatment optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization approach of balancing life cycle cost and environmental impacts on residential building design",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal fleetwide emissions reductions for passenger ferries: An application of a mixed-integer nonlinear programming model for the New York-New Jersey Harbor",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of culture conditions for hydrogen production by Ethanoligenens harbinense B49 using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Development of unknown pollution source identification models using GMS ANN-based simulation optimization methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Numerical optimization on hydrodynamic characteristics of internal-loop fluidized bed based upon structure parameter response relationships",,,,,,,,,,,,"CUT",,,,,"other"
"Multi-objective optimization of process cogeneration systems with economic, environmental, and social tradeoffs",,,,,,,,,,,,"CUT",,,,,"other"
"PM10 emission forecasting using artificial neural networks and genetic algorithm input variable optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Development of a biorefinery optimized biofuel supply curve for the Western United States",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of the horizontal shape of CO2 injected domain and the depths of release in moving-ship type CO2 ocean sequestration",,,,,,,,,,,,"CUT",,,,,"other"
"Analysis of optimization potential in commercial biomass gasification plants using process simulation","energy","energy","single",,"none","plant","biomass gasification, parameter optimisation","simulation","plant simulation",3,"energy, various, waste","optimal parameters for biomass gasification (e.g. waste wood),to provide CHP","low","operating conditions","plant (multiple components)","plant (multiple components)","other"
"Modelling and optimization of drying variables in thin layer drying of parboiled paddy",,,,,,,,,,,,"CUT",,,,,"other"
"Forecasting GHG emissions using an optimized artificial neural network model based on correlation and principal component analysis",,,,,,,,,,,,"CUT",,,,,"other"
"New cultural treatments and yield optimisation",,,,,,,,,,,,"CUT",,,,,"other"
"Biodegradation of dye solution containing Malachite Green: Optimization of effective parameters using Taguchi method",,,,,,,,,,,,"CUT",,,,,"other"
"Families of optimal thermodynamic solutions for combined cycle gas turbine (CCGT) power plants",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of vane numbers through simulation and experiment, and investigation of the effect on the performance and emissions of a CI (compression ignition) engine run with biodiesel",,,,,,,,,,,,"CUT",,,,,"other"
"Optimizing anaerobic co-digestion plants: MIR online instrumentation and dynamic real-time substrate feed optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Optimized photocatalytic degradation of Alcian Blue 8 GX in the presence of TiO2 suspensions",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of sugarcane farming as a multipurpose crop for energy and food production",,,,,,,,,,,,"CUT",,,,,"other"
"Exergoeconomic optimization of black liquor gasification combined cycle using evolutionary and conventional iterative method",,,,,,,,,,,,"CUT",,,,,"other"
"The application of life cycle assessment to process optimisation",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of remediation operations at petroleum-contaminated sites through a simulation-based stochastic-MCDA approach",,,,,,,,,,,,"CUT",,,,,"other"
"On the systematic design and selection of optimal working fluids for Organic Rankine Cycles",,,,,,,,,,,,"CUT",,,,,"other"
"Thermodynamic optimization of a neoteric geothermal poly-generation system in an oilfield",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal operation of alternating activated sludge processes",,,,,,,,,,,,"CUT",,,,,"other"
"Experimental optimization of a solar still: Application to alcohol distillation",,,,,,,,,,,,"CUT",,,,,"other"
"Fluids and parameters optimization for a novel cogeneration system driven by low-temperature geothermal sources",,,,,,,,,,,,"CUT",,,,,"other"
"Conversion of degummed soybean oil to biodiesel: Optimization of degumming methods and evaluation of fuel properties",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of biostimulant for bioremediation of contaminated coastal sediment by response surface methodology (RSM) and evaluation of microbial diversity by pyrosequencing",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of As(V) adsorption on Fe-RH-MCM-41-immobilized GAC using Box-Behnken Design: Effects of pH, loadings, and initial concentrations",,,,,,,,,,,,"CUT",,,,,"other"
"Stabilized landfill leachate treatment by sugarcane bagasse derived activated carbon for removal of color, COD and NH<inf>3</inf>-N - Optimization of preparation conditions by RSM",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of thermal-dilute sulfuric acid pretreatment for enhancement of methane production from cassava residues",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of mechanical stirring technology in anaerobic fermentation treating algae and pilot trial validation",,,,,,,,,,,,"CUT",,,"too narrow a focus ('mechanical stirring technology')",,"other"
"Optimization of a fin-tube type adsorption chiller by design of experiment",,,,,,,,,,,,"CUT",,,,,"other"
